6|"June"|"None"||"None"|||||||||||"20424656"|"213887904"
5|"May"|"None"||"None"|||||||||||"20424656"|"213887905"
10|"October"|"None"||"None"|||||||||||"20424656"|"213887906"
8|"August"|"None"||"None"|||||||||||"20424656"|"213887907"
2|"February"|"None"||"None"|||||||||||"20424656"|"213887908"
7|"July"|"None"||"None"|||||||||||"20424656"|"213887909"
3|"March"|"None"||"None"|||||||||||"20424656"|"213887910"
11|"November"|"None"||"None"|||||||||||"20424656"|"213887911"
9|"September"|"None"||"None"|||||||||||"20424656"|"213887912"
7|"July"|"None"||"None"|||||||||||"20424657"|"213887913"
8|"August"|"None"||"None"|||||||||||"20424657"|"213887914"
9|"September"|"None"||"None"|||||||||||"20424657"|"213887915"
10|"October"|"None"||"None"|||||||||||"20424657"|"213887916"
11|"November"|"None"||"None"|||||||||||"20424657"|"213887917"
12|"December"|"None"||"None"|||||||||||"20424657"|"213887918"
1|"January"|"None"||"None"|||||||||||"20424657"|"213887919"
2|"February"|"None"||"None"|||||||||||"20424657"|"213887920"
3|"March"|"None"||"None"|||||||||||"20424657"|"213887921"
4|"April"|"None"||"None"|||||||||||"20424657"|"213887922"
5|"May"|"None"||"None"|||||||||||"20424657"|"213887923"
6|"June"|"None"||"None"|||||||||||"20424657"|"213887924"
1|"January"|"None"||"None"|||||||||||"20424658"|"213887925"
2|"February"|"None"||"None"|||||||||||"20424658"|"213887926"
3|"March"|"None"||"None"|||||||||||"20424658"|"213887927"
4|"April"|"None"||"None"|||||||||||"20424658"|"213887928"
5|"May"|"None"||"None"|||||||||||"20424658"|"213887929"
6|"June"|"None"||"None"|||||||||||"20424658"|"213887930"
7|"July"|"None"||"None"|||||||||||"20424658"|"213887931"
8|"August"|"None"||"None"|||||||||||"20424658"|"213887932"
9|"September"|"None"||"None"|||||||||||"20424658"|"213887933"
10|"October"|"None"||"None"|||||||||||"20424658"|"213887934"
11|"November"|"None"||"None"|||||||||||"20424658"|"213887935"
12|"December"|"None"||"None"|||||||||||"20424658"|"213887936"
12|"December"|"None"||"None"|||||||||||"20424659"|"213887937"
5|"May"|"None"||"None"|||||||||||"20424659"|"213887938"
9|"September"|"None"||"None"|||||||||||"20424659"|"213887939"
6|"June"|"None"||"None"|||||||||||"20424659"|"213887940"
10|"October"|"None"||"None"|||||||||||"20424659"|"213887941"
8|"August"|"None"||"None"|||||||||||"20424659"|"213887942"
3|"March"|"None"||"None"|||||||||||"20424659"|"213887943"
1|"January"|"None"||"None"|||||||||||"20424659"|"213887944"
4|"April"|"None"||"None"|||||||||||"20424659"|"213887945"
7|"July"|"None"||"None"|||||||||||"20424659"|"213887946"
2|"February"|"None"||"None"|||||||||||"20424659"|"213887947"
11|"November"|"None"||"None"|||||||||||"20424659"|"213887948"
11|"November"|"None"|||||||||||||"20424660"|"213887949"
9|"September"|"None"|||||||||||||"20424660"|"213887950"
12|"December"|"None"|||||||||||||"20424660"|"213887951"
7|"July"|"None"|||||||||||||"20424660"|"213887952"
1|"January"|"None"|||||||||||||"20424660"|"213887953"
10|"October"|"None"|||||||||||||"20424660"|"213887954"
8|"August"|"None"|||||||||||||"20424660"|"213887955"
2|"February"|"None"|||||||||||||"20424660"|"213887956"
3|"March"|"None"||"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||"20424660"|"213887957"
4|"April"|"None"||"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||"20424660"|"213887958"
5|"May"|"None"||"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||"20424660"|"213887959"
6|"June"|"None"||"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||"20424660"|"213887960"
5|"May"|"None"||"None"|||||||||||"20424679"|"213888177"
10|"October"|"None"||"None"|||||||||||"20424679"|"213888178"
1|"January"|"None"||"None"|||||||||||"20424679"|"213888179"
9|"September"|"None"||"None"|||||||||||"20424679"|"213888180"
2|"February"|"None"||"None"|||||||||||"20424679"|"213888181"
6|"June"|"None"||"None"|||||||||||"20424679"|"213888182"
11|"November"|"None"||"None"|||||||||||"20424679"|"213888183"
12|"December"|"None"||"None"|||||||||||"20424679"|"213888184"
3|"March"|"None"||"None"|||||||||||"20424679"|"213888185"
8|"August"|"None"||"None"|||||||||||"20424679"|"213888186"
4|"April"|"None"||"None"|||||||||||"20424679"|"213888187"
7|"July"|"None"||"None"|||||||||||"20424679"|"213888188"
5|"May"|"None"||"None"|||||||||||"20424680"|"213888189"
10|"October"|"None"||"None"|||||||||||"20424680"|"213888190"
1|"January"|"None"||"None"|||||||||||"20424680"|"213888191"
9|"September"|"None"||"None"|||||||||||"20424680"|"213888192"
2|"February"|"None"||"None"|||||||||||"20424680"|"213888193"
6|"June"|"None"||"None"|||||||||||"20424680"|"213888194"
11|"November"|"None"||"None"|||||||||||"20424680"|"213888195"
12|"December"|"None"||"None"|||||||||||"20424680"|"213888196"
3|"March"|"None"||"None"|||||||||||"20424680"|"213888197"
8|"August"|"None"||"None"|||||||||||"20424680"|"213888198"
4|"April"|"None"||"None"|||||||||||"20424680"|"213888199"
7|"July"|"None"||"None"|||||||||||"20424680"|"213888200"
12|"December"|"None"||"None"|||||||||||"20424681"|"213888201"
5|"May"|"None"||"None"|||||||||||"20424681"|"213888202"
9|"September"|"None"||"None"|||||||||||"20424681"|"213888203"
6|"June"|"None"||"None"|||||||||||"20424681"|"213888204"
10|"October"|"None"||"None"|||||||||||"20424681"|"213888205"
8|"August"|"None"||"None"|||||||||||"20424681"|"213888206"
3|"March"|"None"||"None"|||||||||||"20424681"|"213888207"
1|"January"|"None"||"None"|||||||||||"20424681"|"213888208"
4|"April"|"None"||"None"|||||||||||"20424681"|"213888209"
7|"July"|"None"||"None"|||||||||||"20424681"|"213888210"
2|"February"|"None"||"None"|||||||||||"20424681"|"213888211"
11|"November"|"None"||"None"|||||||||||"20424681"|"213888212"
2|"February"|"None"|||||||||||||"20424759"|"213889137"
7|"July"|"None"|||||||||||||"20424759"|"213889138"
9|"September"|"None"|||||||||||||"20424759"|"213889139"
10|"October"|"None"|||||||||||||"20424759"|"213889140"
8|"August"|"None"|||||||||||||"20424759"|"213889141"
12|"December"|"None"|||||||||||||"20424759"|"213889142"
1|"January"|"None"|||||||||||||"20424759"|"213889143"
11|"November"|"None"|||||||||||||"20424759"|"213889144"
3|"March"|"None"||"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||"20424759"|"213889145"
4|"April"|"None"||"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||"20424759"|"213889146"
5|"May"|"None"||"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||"20424759"|"213889147"
6|"June"|"None"||"Occasional"|"Brief (2 to 7 days)"|0|15|30|||||||"20424759"|"213889148"
12|"December"|"None"||"None"|||||||||||"20424760"|"213889149"
6|"June"|"None"||"None"|||||||||||"20424760"|"213889150"
7|"July"|"None"||"None"|||||||||||"20424760"|"213889151"
5|"May"|"None"||"None"|||||||||||"20424760"|"213889152"
1|"January"|"None"||"None"|||||||||||"20424760"|"213889153"
8|"August"|"None"||"None"|||||||||||"20424760"|"213889154"
11|"November"|"None"||"None"|||||||||||"20424760"|"213889155"
4|"April"|"None"||"None"|||||||||||"20424760"|"213889156"
10|"October"|"None"||"None"|||||||||||"20424760"|"213889157"
2|"February"|"None"||"None"|||||||||||"20424760"|"213889158"
3|"March"|"None"||"None"|||||||||||"20424760"|"213889159"
9|"September"|"None"||"None"|||||||||||"20424760"|"213889160"
12|"December"|"None"||"None"|||||||||||"20424761"|"213889161"
6|"June"|"None"||"None"|||||||||||"20424761"|"213889162"
9|"September"|"None"||"None"|||||||||||"20424761"|"213889163"
10|"October"|"None"||"None"|||||||||||"20424761"|"213889164"
1|"January"|"None"||"None"|||||||||||"20424761"|"213889165"
4|"April"|"None"||"None"|||||||||||"20424761"|"213889166"
7|"July"|"None"||"None"|||||||||||"20424761"|"213889167"
2|"February"|"None"||"None"|||||||||||"20424761"|"213889168"
8|"August"|"None"||"None"|||||||||||"20424761"|"213889169"
11|"November"|"None"||"None"|||||||||||"20424761"|"213889170"
5|"May"|"None"||"None"|||||||||||"20424761"|"213889171"
3|"March"|"None"||"None"|||||||||||"20424761"|"213889172"
4|"April"|"None"||"None"|||||||||||"20424762"|"213889173"
1|"January"|"None"||"None"|||||||||||"20424762"|"213889174"
7|"July"|"None"||"None"|||||||||||"20424762"|"213889175"
10|"October"|"None"||"None"|||||||||||"20424762"|"213889176"
2|"February"|"None"||"None"|||||||||||"20424762"|"213889177"
11|"November"|"None"||"None"|||||||||||"20424762"|"213889178"
5|"May"|"None"||"None"|||||||||||"20424762"|"213889179"
8|"August"|"None"||"None"|||||||||||"20424762"|"213889180"
3|"March"|"None"||"None"|||||||||||"20424762"|"213889181"
9|"September"|"None"||"None"|||||||||||"20424762"|"213889182"
12|"December"|"None"||"None"|||||||||||"20424762"|"213889183"
6|"June"|"None"||"None"|||||||||||"20424762"|"213889184"
